frequency_hz,vin_v,vout_v,phase_deg
20.0,1.0001091,1.0044345,-0.75311
24.745957,0.9998593,1.0065704,-0.58527
30.618118,1.0004052,1.0012835,-1.23193
37.883731,0.9983867,0.9954769,-1.44266
46.873458,1.0003535,0.9995411,-1.85249
57.996428,1.0010379,1.0055829,-2.14169
71.758854,1.0013801,1.0023917,-2.2777
88.787075,0.9996145,1.000229,-2.97065
109.856054,0.9996708,0.9996343,-3.81709
135.924657,1.0023256,1.00483,-4.85592
168.179283,1.0000144,0.9934323,-5.87784
208.087861,0.9987747,0.9929254,-7.30759
257.466659,1.0014741,0.9913616,-9.31748
318.562937,0.9969656,0.9774018,-11.37784
394.15723,0.9994228,0.9676349,-13.81763
487.689884,1.0017158,0.957026,-17.2453
603.417634,0.9973509,0.9282189,-20.69446
746.607327,1.000714,0.9051885,-25.24073
923.775623,1.0028731,0.8668791,-30.20492
1142.98557,1.0014496,0.811585,-35.79753
1414.213562,1.0016052,0.7515773,-41.66717
1749.803367,0.9982983,0.6681964,-47.57082
2165.027904,1.0019144,0.5941098,-53.8345
2678.78432,1.001611,0.5102633,-59.406
3314.454017,0.9985845,0.4325509,-64.13084
4100.966752,1.0028116,0.363662,-69.03083
5074.11725,1.0006909,0.2988858,-72.59166
6278.194247,0.999979,0.2451646,-76.00593
7767.996097,1.000682,0.2002231,-78.66208
9611.324689,1.0026555,0.1639575,-80.56126
11892.07115,0.9996874,0.1324163,-82.3969
14714.033789,0.9981987,0.1076465,-84.19196
18205.64203,0.9988182,0.0868774,-85.06792
22525.801319,1.0006602,0.0704777,-86.01381
27871.125017,0.9994235,0.0572043,-86.76804
34484.882412,0.9984601,0.0461317,-87.47746
42668.070064,0.9975543,0.0370121,-87.81548
52793.110362,1.001204,0.0302483,-88.46311
65320.800718,1.0026333,0.024415,-88.60067
80821.28477,1.0024046,0.0197961,-88.77507
100000.0,1.001465,0.0158581,-89.1311
