frequency_hz,vin_v,vout_v,phase_deg
20.0,0.9967498,0.9960888,-0.57899
24.745957,1.0025637,1.0040373,-0.8983
30.618118,0.9992829,1.0047175,-1.39444
37.883731,0.9981245,0.9910107,-1.49577
46.873458,0.998835,0.9962812,-1.65527
57.996428,1.0005165,0.9982321,-2.36898
71.758854,0.9993075,0.9946186,-2.8299
88.787075,0.9997633,1.0009369,-4.08622
109.856054,0.9972877,0.9916308,-4.98712
135.924657,0.9986446,0.99093,-5.70158
168.179283,0.9974975,0.991404,-7.04332
208.087861,0.9986694,0.9903874,-8.88589
257.466659,1.0004997,0.9870231,-10.80488
318.562937,0.9997199,0.9722332,-13.38221
394.15723,1.0001617,0.9579879,-16.48338
487.689884,1.0034752,0.9406732,-20.30794
603.417634,0.9999427,0.9102145,-24.44118
746.607327,1.0000574,0.8730959,-29.37056
923.775623,1.0012768,0.8253562,-34.87105
1142.98557,0.9997742,0.7588443,-40.87581
1414.213562,0.998296,0.6841717,-47.03767
1749.803367,0.9964733,0.603672,-52.85017
2165.027904,1.0013423,0.5223708,-58.92967
2678.78432,1.000251,0.4431638,-63.68109
3314.454017,1.0006245,0.3710443,-68.08829
4100.966752,0.9969957,0.3064754,-71.96349
5074.11725,1.00079,0.2538254,-75.47649
6278.194247,1.0013256,0.2076447,-78.0667
7767.996097,1.0020966,0.1688821,-80.61761
9611.324689,1.0009259,0.1366506,-82.27182
11892.07115,0.9995801,0.1109771,-83.74737
14714.033789,0.999136,0.090062,-84.76678
18205.64203,0.9997374,0.0727926,-85.83989
22525.801319,0.9992567,0.0585173,-86.49311
27871.125017,1.0014031,0.0475707,-87.01862
34484.882412,0.9973945,0.0382879,-87.97712
42668.070064,0.9973739,0.0308949,-87.96383
52793.110362,0.9994988,0.0251019,-88.71064
65320.800718,0.9979262,0.0202382,-88.74727
80821.28477,0.9980338,0.0162774,-89.01179
100000.0,0.999009,0.0132654,-89.36595
